userId,userName,gender,location,birthday,verfied,宝马3系,奥迪A4L,奔驰C级,凯迪拉克ATS-L,英菲尼迪Q50L,雷克萨斯ES,皇冠
3917465,庄里打酱油,男,河北,1986-09-02,true,0,0,0,0,0,0,1
8200423,宇哥喜欢自驾游,男,四川,1992-03-24,true,0,1,0,0,0,0,0
1698388,小欣同学,男,内蒙古,1990-12-18,true,1,0,0,0,0,0,0
8184089,超越梦想1983,男,湖南,null,true,1,1,0,0,0,0,0
15793200,跳跳跳个鸟,男,河南,null,true,0,0,0,1,0,0,0
8318018,倾心_,男,北京,null,true,0,0,0,0,0,0,1
10371781,邓大侠,男,湖南,null,true,0,1,0,0,0,0,0
4020881,任性一族,男,广东,1984-09-10,true,0,1,0,1,0,0,0
5767140,A夂灬K5,男,浙江,1994-05-09,true,0,0,0,1,0,0,0
23434438,选择与喜爱有关,男,河北,null,true,0,0,0,0,0,1,0
350405,王建良,男,山东,1981-05-21,true,0,0,0,1,0,0,0
11850830,ThinkingQuest,男,北京,null,true,1,0,1,0,0,0,0
9327219,玉蝴蝶P,女,湖北,null,true,0,0,0,0,0,0,1
7652215,唐宋元明凊,男,浙江,1989-08-13,true,1,0,0,0,0,0,0
3576177,benzc2002010,男,广东,1979-02-23,true,0,0,1,0,0,0,0
8214160,旧言伤人,男,江西,null,true,1,0,0,0,0,0,0
5604064,luyi7,男,陕西,null,true,0,0,0,0,0,1,1
9426967,我是怪叔叔叔,男,福建,1993-02-25,true,0,0,0,0,0,1,0
3903994,吴传龙2011,男,安徽,1981-10-02,true,0,0,0,1,0,0,0
19046564,那一夜的梦,男,广东,null,true,0,0,0,1,0,0,0
1642347,diycb,男,河北,1986-05-02,true,1,0,0,0,0,0,0
3213798,ylwsunny,男,云南,1985-09-11,true,1,0,0,0,0,0,0
7625870,gihfkdf33,男,四川,null,true,0,0,0,0,0,1,0
14543722,回到碧咸,男,北京,null,true,1,0,0,0,0,0,0
4984036,檀水飘香,女,上海,null,true,1,0,1,0,0,0,0
5072707,a669057021,男,湖南,1991-04-08,true,0,0,0,0,0,0,1
8980630,心心相印5,男,贵州,null,true,1,0,0,0,0,0,0
987698,笨笨小猪ING,男,北京,1987-10-01,true,1,0,0,0,0,0,0
10368240,不懂WH,男,广东,null,true,0,0,0,0,1,0,0
5313121,秦川ANDY,男,上海,null,true,1,0,0,0,0,0,0
17752799,阿木的新C,男,江苏,null,true,0,0,1,0,0,0,0
9545028,Wangrunfei,男,北京,null,true,0,0,1,0,0,0,0
8501590,龙降,男,上海,1981-11-25,true,1,0,0,0,0,0,0
9227285,23814112,男,浙江,1985-12-23,true,1,0,0,0,0,0,0
5704963,炫吾,男,山东,1991-12-09,true,0,0,0,0,0,0,1
7747706,wwsuperww,男,四川,null,true,0,0,0,0,0,0,1
3714826,sky_zrj,男,山东,1984-01-06,true,0,0,1,0,0,0,0
10585104,HakunaMatata张,男,湖北,null,true,0,0,0,1,0,0,0
7979469,esplendor,男,云南,null,true,0,1,0,0,0,0,0
6683719,飞越黎明湖,男,河北,null,true,0,1,0,0,0,0,0
8999173,cosV60,男,广东,null,true,0,0,0,0,0,1,0
2483391,reckham1118,男,湖南,1980-10-11,true,0,0,0,0,0,1,0
5905926,嘟嘟如鱼,男,上海,null,true,1,0,0,0,0,0,0
2373991,lhloveyb,男,湖北,1987-01-01,true,1,0,0,0,0,0,0
10048612,Lee_G7,男,福建,null,true,1,0,0,0,0,0,0
1740476,芙茵比斯,女,河北,1985-04-03,false,0,0,1,0,0,0,0
4730356,回到从前1978,男,江苏,1978-11-01,true,0,0,1,0,0,0,0
9022060,Jimmyhalevey,男,上海,null,true,1,0,0,0,0,0,0
21908730,junbinhao20,男,广西,null,true,1,0,0,0,0,0,0
9316429,LL718,男,河南,null,true,1,1,0,0,0,0,0
19189191,后退我要开始装逼了,男,江苏,null,true,1,0,0,0,0,0,0
12824651,无人予赠,男,浙江,null,true,0,0,0,0,0,1,0
13247798,TT101016,男,湖南,1982-06-02,true,0,1,0,0,0,0,0
7594199,yao2261,男,天津,null,true,0,1,0,0,0,0,0
6479111,逐星者,男,甘肃,1986-09-22,true,0,0,1,0,0,0,0
10295085,cheerchyan,男,浙江,null,true,0,0,0,0,0,1,0
19828656,芝麻蕉丁丁,男,湖北,null,true,1,0,0,0,0,0,0
20376556,zhangshujian521,男,河南,null,true,0,0,1,0,0,0,0
5409603,reizcom,男,江西,1990-05-08,true,1,0,0,0,0,0,0
14648349,vinsongor,男,广东,null,true,0,0,0,1,0,0,0
3209254,princerevenge,男,广东,1984-08-24,true,0,0,0,0,0,0,1
3287242,water0402,男,辽宁,1988-08-08,true,0,1,0,0,0,0,0
11399222,渁瞐栤暒,男,青海,null,true,1,0,0,0,0,0,0
