性子:0.02 0.00 0.07 0.02 0.02 0.22 0.66 0.00 
冰箱:0.00 0.09 0.01 0.04 0.09 0.01 0.00 0.77 
灰色:0.20 0.00 0.00 0.00 0.79 0.00 0.00 0.00 
路途:0.00 0.06 0.04 0.01 0.02 0.75 0.04 0.08 
分辨率:0.01 0.07 0.01 0.07 0.84 0.00 0.00 0.00 
拼接:0.07 0.09 0.00 0.01 0.83 0.00 0.00 0.01 
环路:0.00 0.03 0.07 0.00 0.01 0.80 0.09 0.00 
灵活性:0.02 0.06 0.70 0.01 0.00 0.00 0.02 0.20 
小孩子:0.03 0.11 0.01 0.01 0.09 0.02 0.04 0.68 
女子:0.04 0.64 0.19 0.00 0.00 0.02 0.04 0.07 
油门:0.00 0.02 0.16 0.00 0.00 0.14 0.67 0.00 
个头:0.03 0.15 0.04 0.01 0.01 0.01 0.00 0.75 
烟灰缸:0.00 0.08 0.01 0.03 0.67 0.00 0.00 0.22 
海绵:0.00 0.84 0.01 0.00 0.10 0.00 0.01 0.04 
往返:0.00 0.02 0.01 0.01 0.01 0.83 0.06 0.05 
父母:0.03 0.13 0.01 0.03 0.01 0.03 0.04 0.73 
城乡:0.03 0.01 0.02 0.01 0.00 0.87 0.06 0.00 
加价:0.04 0.00 0.00 0.92 0.01 0.00 0.00 0.01 
手套:0.00 0.04 0.00 0.01 0.70 0.00 0.00 0.24 
起伏:0.00 0.65 0.22 0.01 0.01 0.06 0.03 0.01 
压抑:0.01 0.16 0.00 0.00 0.08 0.00 0.00 0.74 
后劲:0.00 0.00 0.02 0.00 0.00 0.02 0.96 0.00 
大马力:0.00 0.01 0.03 0.04 0.00 0.08 0.82 0.02 
澎湃:0.01 0.01 0.02 0.02 0.01 0.01 0.92 0.00 
装点:0.03 0.04 0.01 0.03 0.08 0.01 0.07 0.74 
线条:0.95 0.00 0.00 0.00 0.03 0.00 0.00 0.01 
稳定性:0.01 0.15 0.69 0.04 0.00 0.02 0.08 0.01 
失控:0.00 0.03 0.87 0.02 0.01 0.02 0.05 0.01 
转动:0.01 0.04 0.82 0.02 0.07 0.01 0.03 0.01 
坐下:0.00 0.07 0.01 0.00 0.01 0.00 0.01 0.90 
花费:0.02 0.02 0.04 0.22 0.02 0.62 0.02 0.05 
爆发力:0.01 0.00 0.02 0.01 0.00 0.01 0.94 0.00 
转向灯:0.62 0.03 0.18 0.10 0.03 0.00 0.01 0.01 
家族:0.71 0.01 0.03 0.02 0.21 0.00 0.01 0.01 
搭载:0.01 0.04 0.06 0.06 0.01 0.08 0.69 0.05 
滞后:0.01 0.00 0.21 0.00 0.02 0.01 0.74 0.00 
环线:0.01 0.01 0.07 0.01 0.00 0.83 0.07 0.00 
金额:0.00 0.00 0.00 0.05 0.00 0.95 0.00 0.00 
超市:0.02 0.02 0.02 0.02 0.01 0.07 0.12 0.74 
把手:0.22 0.07 0.02 0.01 0.62 0.00 0.00 0.06 
辨识:0.96 0.00 0.01 0.01 0.02 0.00 0.00 0.00 
头发:0.01 0.06 0.01 0.00 0.04 0.00 0.00 0.88 
咆哮:0.00 0.10 0.03 0.00 0.00 0.05 0.81 0.00 
小孩:0.02 0.09 0.01 0.03 0.03 0.06 0.09 0.66 
承受:0.01 0.07 0.02 0.11 0.01 0.69 0.05 0.04 
装配:0.08 0.05 0.02 0.06 0.77 0.01 0.02 0.00 
工艺:0.14 0.03 0.01 0.08 0.72 0.00 0.01 0.01 
切割:0.95 0.00 0.00 0.03 0.02 0.00 0.00 0.01 
围观:0.96 0.00 0.00 0.03 0.01 0.00 0.00 0.01 
